Rubin Line,DLM1,DLM2,DLM3,DLM4,DLM5,DLM6,Anterior DVM-A,Anterior DVM-B,Anterior DVM-C,Medial DVM-A,Medial DVM-B,Posterior DVM-A,Posterior DVM-B,basalare 1 (b1),basalare 2 (b2 or sb),basalare 3 (b3),First Pterale 1 (I1),First Pterale 2 (I2),Third Pterale 1 (III1),Third Pterale 3 (III3),"Third Pterale 2,4 (III2,4)",hg1 (posterior notal wing process),hg2 (posterior notal wing process),hg3 (posterior notal wing process),hg4 (posterior notal wing process),Ventral Tergopleural (v-Tp),Dorsal Tergopleural (d-Tp),pleurosternal 1 (ps1),Jump (tt)
86H08,N/A,N/A,N/A,N/A,N/A,N/A,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87B04,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88G08,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
89E06,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
89E10,N/A,N/A,N/A,N/A,N/A,N/A,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
92A12,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,1,1,1,1,0,0,0,0,2,1,0,1,0,0,0,0,2,0,0,2
92G04,N/A,N/A,N/A,N/A,N/A,N/A,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91B09,N/A,N/A,N/A,N/A,N/A,N/A,2,2,2,2,2,2,2,1,2,0.5,2,1,2,0,1,0,1,0,0.5,2,2,1,2
19G12,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12D05,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,1,2,1,0,0,0,2
13B05,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
89E03,N/A,N/A,N/A,N/A,N/A,N/A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
14E09,N/A,N/A,N/A,N/A,N/A,N/A,2,2,2,2,N/A,N/A,N/A,0.5,0.5,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0
14G02,N/A,N/A,N/A,N/A,N/A,N/A,0.5,0.5,0,0,0,0,0,2,2,1,2,0,0,0,2,1,0,0,0,0,0,0,1
